1,10:40:16,0,0,rgegeg,dgregrg,
1,10:40:38,0,0,rrg,hthehe,
2,11:37:25,0,0,fefef,efefe,
3,11:43:37,0,0,gregr,rgerg,./static/images/./sample_data/question.csv
4,11:46:29,0,0,joigfjreg?,grregreg,./static/images/irdkifuzibe.png
5,11:48:56,0,0,gwrege?,ewfwfeww,./static/images/irdkifuzibe.png
6,11:49:31,0,0,gregrge,geerg,./static/images/irdkifuzibe.png
7,13:20:13,0,0,refewfwe,efwfwe,
8,13:21:27,0,0,efewf,wdwdq,
9,13:26:36,0,0,efwfw,fwfewf,irdkifüzibe.png
10,13:30:09,0,0,efewfw,efwef,irdkif�zibe.png
11,13:32:01,0,0,efeww,ewfwf,idea_keymap_2015-01-20_131810.png
12,13:33:15,0,0,ewfewf,wfwef,./static/images/idea_keymap_2015-01-20_131810.png
